Category;Family;StyleName;Slope
serif;Above the Beyond;Above the Beyond Script;102.99999904632568
serif;Above the Beyond;Above the Beyond Serif Italic;108.0
serif;Above the Beyond;Above the Beyond Serif Regular;90.0
serif;Abraghen;Abraghen Regular;90.0
serif;Abramo;Abramo Script;120.0
serif;Abramo;Abramo Serif;90.0
serif;Abril;Abril Display Black Italic;97.99999952316284
serif;Abril;Abril Display Black;90.0
serif;Abril;Abril Display Bold Italic;97.99999952316284
serif;Abril;Abril Display Bold;90.0
serif;Abril;Abril Display ExtraBold Italic;97.99999952316284
serif;Abril;Abril Display ExtraBold;90.0
serif;Abril;Abril Display Italic;97.99999952316284
serif;Abril;Abril Display SemiBold Italic;97.99999952316284
serif;Abril;Abril Display SemiBold;90.0
serif;Abril;Abril Display;90.0
serif;Abril;Abril Fatface Italic;97.99999952316284
serif;Abril;Abril Fatface;90.0
serif;Abril;Abril Text Bold Italic;99.0
serif;Abril;Abril Text Bold;90.0
serif;Abril;Abril Text ExtraBold Italic;99.0
serif;Abril;Abril Text ExtraBold;90.0
serif;Abril;Abril Text Italic;99.0
serif;Abril;Abril Text Light Italic;99.0
serif;Abril;Abril Text Light;90.0
serif;Abril;Abril Text SemiBold Italic;99.0
serif;Abril;Abril Text SemiBold;90.0
serif;Abril;Abril Text;90.0
serif;Absolute Beauty;Absolute Beauty Script Bold;-
serif;Absolute Beauty;Absolute Beauty Script Light;-
serif;Absolute Beauty;Absolute Beauty Script Regular;-
serif;Absolute Beauty;Absolute Beauty Serif Regular;90.0
serif;Absolute Beauty;Absolute Beauty Serif Thin;90.0
serif;Abstract;Abstract Black Italic;93.0
serif;Abstract;Abstract Black;90.0
serif;Abstract;Abstract Bold Italic;93.0
serif;Abstract;Abstract Bold;90.0
serif;Abstract;Abstract Light Italic;93.0
serif;Abstract;Abstract Light;90.0
serif;Abstract;Abstract Medium Italic;93.0
serif;Abstract;Abstract Medium;90.0
serif;Abstract;Abstract Regular Italic;93.0
