Family;Category;Glyph;Height;Width
Hermann Semi Bold;Serif;p;157;114
Hermann Semi Bold;Serif;x;98;111
ITC Charter Pro Regular;Serif;H;169;169
ITC Charter Pro Regular;Serif;a;125;113
ITC Charter Pro Regular;Serif;k;185;129
ITC Charter Pro Regular;Serif;o;126;117
ITC Charter Pro Regular;Serif;p;178;125
ITC Charter Pro Regular;Serif;x;121;123
ITC Cheltenham Pro Condensed Bold Italic;Serif;H;176;177
ITC Cheltenham Pro Condensed Bold Italic;Serif;a;128;119
ITC Cheltenham Pro Condensed Bold Italic;Serif;k;180;120
ITC Cheltenham Pro Condensed Bold Italic;Serif;o;128;115
ITC Cheltenham Pro Condensed Bold Italic;Serif;p;175;129
ITC Cheltenham Pro Condensed Bold Italic;Serif;x;128;134
Jazmín Alt Thin;Serif;H;183;148
Jazmín Alt Thin;Serif;a;129;100
Jazmín Alt Thin;Serif;k;188;99
Jazmín Alt Thin;Serif;o;129;121
Jazmín Alt Thin;Serif;p;177;116
Jazmín Alt Thin;Serif;x;125;112
Lawrence Bold;Serif;H;133;129
Lawrence Bold;Serif;a;90;88
Lawrence Bold;Serif;k;139;103
Lawrence Bold;Serif;o;90;91
Lawrence Bold;Serif;p;132;95
Lawrence Bold;Serif;x;88;102
Linotype Didot Pro Roman;Serif;H;179;190
Linotype Didot Pro Roman;Serif;a;115;110
Linotype Didot Pro Roman;Serif;k;181;127
Linotype Didot Pro Roman;Serif;o;115;118
Linotype Didot Pro Roman;Serif;p;182;129
Linotype Didot Pro Roman;Serif;x;108;122
Minion Bold;Serif;H;163;179
Minion Bold;Serif;a;117;110
Minion Bold;Serif;k;178;133
Minion Bold;Serif;o;117;118
Minion Bold;Serif;p;175;126
Minion Bold;Serif;x;111;123
Morison Regular;Serif;H;180;196
Morison Regular;Serif;a;127;124
Morison Regular;Serif;k;193;139
Morison Regular;Serif;o;127;125
Morison Regular;Serif;p;170;134
Morison Regular;Serif;x;120;138
Mrs Eaves Roman;Serif;H;151;174
Mrs Eaves Roman;Serif;a;92;88
Mrs Eaves Roman;Serif;k;155;110
Mrs Eaves Roman;Serif;o;93;102
Mrs Eaves Roman;Serif;p;151;113
Mrs Eaves Roman;Serif;x;84;101
Quiche Flare Medium;Serif;H;176;166
Quiche Flare Medium;Serif;a;131;126
Quiche Flare Medium;Serif;k;183;128
Quiche Flare Medium;Serif;o;131;135
Quiche Flare Medium;Serif;p;184;136
Quiche Flare Medium;Serif;x;126;125
Radiata Regular;Serif;H;174;181
Radiata Regular;Serif;a;132;109
Radiata Regular;Serif;k;193;139
Radiata Regular;Serif;o;134;121
Radiata Regular;Serif;p;186;129
Radiata Regular;Serif;x;123;135
Recoleta Regular;Serif;H;178;163
Recoleta Regular;Serif;a;126;118
Recoleta Regular;Serif;k;189;126
Recoleta Regular;Serif;o;126;125
Recoleta Regular;Serif;p;181;127
Recoleta Regular;Serif;x;121;125
Rossanova Thin;Serif;H;163;121
Rossanova Thin;Serif;a;114;86
Rossanova Thin;Serif;k;177;92
Rossanova Thin;Serif;o;114;96
Rossanova Thin;Serif;p;158;99
Rossanova Thin;Serif;x;111;86
Sabon Roman;Serif;H;175;197
Sabon Roman;Serif;a;119;107
Sabon Roman;Serif;k;192;127
Sabon Roman;Serif;o;119;119
Sabon Roman;Serif;p;174;125
Sabon Roman;Serif;x;111;131
Silk Serif Regular;Serif;H;176;172
Silk Serif Regular;Serif;a;121;113
Silk Serif Regular;Serif;k;180;119
Silk Serif Regular;Serif;o;121;118
Silk Serif Regular;Serif;p;172;124
Silk Serif Regular;Serif;x;113;127
TT Jenevers Regular;Serif;H;193;189
TT Jenevers Regular;Serif;a;131;118
TT Jenevers Regular;Serif;k;203;145
TT Jenevers Regular;Serif;o;131;129
TT Jenevers Regular;Serif;p;186;133
TT Jenevers Regular;Serif;x;126;138
Velour Regular;Serif;H;166;171
Velour Regular;Serif;a;122;121
Velour Regular;Serif;k;175;157
Velour Regular;Serif;o;119;122
Velour Regular;Serif;p;167;133
Velour Regular;Serif;x;112;132
Zeit Regular;Serif;H;177;208
Zeit Regular;Serif;a;127;132
Zeit Regular;Serif;k;189;152
Zeit Regular;Serif;o;126;132
Zeit Regular;Serif;p;170;145
Zeit Regular;Serif;x;120;147
Aptifer Slab Pro Regular;Slab;H;171;162
Aptifer Slab Pro Regular;Slab;a;130;116
Aptifer Slab Pro Regular;Slab;k;181;132
Aptifer Slab Pro Regular;Slab;o;130;112
Aptifer Slab Pro Regular;Slab;p;180;129
Aptifer Slab Pro Regular;Slab;x;124;132
Artegra Slab Regular;Slab;H;176;178
Artegra Slab Regular;Slab;a;129;129
Artegra Slab Regular;Slab;k;186;134
Artegra Slab Regular;Slab;o;129;129
Artegra Slab Regular;Slab;p;192;145
Artegra Slab Regular;Slab;x;124;133
Bogue Slab Regular;Slab;H;172;186
Bogue Slab Regular;Slab;a;129;132
Bogue Slab Regular;Slab;k;186;144
Bogue Slab Regular;Slab;o;129;131
Bogue Slab Regular;Slab;p;177;141
Bogue Slab Regular;Slab;x;124;133
Breton Bold;Slab;H;166;145
Breton Bold;Slab;a;121;135
Breton Bold;Slab;k;172;111
Breton Bold;Slab;o;121;127
Breton Bold;Slab;p;168;135
Breton Bold;Slab;x;116;110
Calvert Pro Regular;Slab;H;177;164
Calvert Pro Regular;Slab;a;141;131
Calvert Pro Regular;Slab;k;187;133
Calvert Pro Regular;Slab;o;141;128
Calvert Pro Regular;Slab;p;182;139
Calvert Pro Regular;Slab;x;135;118
Circuit;Slab;H;176;143
Circuit;Slab;a;138;134
Circuit;Slab;k;184;136
Circuit;Slab;o;138;133
Circuit;Slab;p;186;154
