category;family;style;glyph;regions;straights;angles;curves
slab serif;Archipad Pro;Archipad Pro Bold Slab Oblique;a;2;9;8;18
slab serif;Archipad Pro;Archipad Pro Bold Slab Oblique;H;1;24;28;5
slab serif;Archipad Pro;Archipad Pro Bold Slab Oblique;k;1;15;21;9
slab serif;Archipad Pro;Archipad Pro Bold Slab Oblique;o;2;7;0;19
slab serif;Archipad Pro;Archipad Pro Bold Slab Oblique;p;2;10;12;13
slab serif;Archipad Pro;Archipad Pro Bold Slab Oblique;x;1;11;14;9
slab serif;Archipad Pro;Archipad Pro Bold Slab;a;2;14;8;15
slab serif;Archipad Pro;Archipad Pro Bold Slab;H;1;26;28;0
slab serif;Archipad Pro;Archipad Pro Bold Slab;k;1;16;19;5
slab serif;Archipad Pro;Archipad Pro Bold Slab;o;2;8;0;20
slab serif;Archipad Pro;Archipad Pro Bold Slab;p;2;14;12;11
slab serif;Archipad Pro;Archipad Pro Bold Slab;x;1;18;17;4
slab serif;Archipad Pro;Archipad Pro Extra Bold Oblique;a;2;8;6;16
slab serif;Archipad Pro;Archipad Pro Extra Bold Oblique;H;1;12;12;3
slab serif;Archipad Pro;Archipad Pro Extra Bold Oblique;k;1;10;10;5
slab serif;Archipad Pro;Archipad Pro Extra Bold Oblique;o;2;7;0;19
slab serif;Archipad Pro;Archipad Pro Extra Bold Oblique;p;3;7;6;10
slab serif;Archipad Pro;Archipad Pro Extra Bold Oblique;x;1;12;8;5
slab serif;Archipad Pro;Archipad Pro Extra Bold;a;2;12;6;16
slab serif;Archipad Pro;Archipad Pro Extra Bold;H;1;12;12;0
slab serif;Archipad Pro;Archipad Pro Extra Bold;k;1;8;9;4
slab serif;Archipad Pro;Archipad Pro Extra Bold;o;2;9;0;19
slab serif;Archipad Pro;Archipad Pro Extra Bold;p;2;8;6;10
slab serif;Archipad Pro;Archipad Pro Extra Bold;x;1;12;10;5
slab serif;Archipad Pro;Archipad Pro Extra Bold Slab Oblique;a;2;9;8;17
slab serif;Archipad Pro;Archipad Pro Extra Bold Slab Oblique;H;1;26;28;3
slab serif;Archipad Pro;Archipad Pro Extra Bold Slab Oblique;k;1;15;21;8
slab serif;Archipad Pro;Archipad Pro Extra Bold Slab Oblique;o;2;7;0;19
slab serif;Archipad Pro;Archipad Pro Extra Bold Slab Oblique;p;3;10;12;11
slab serif;Archipad Pro;Archipad Pro Extra Bold Slab Oblique;x;1;16;16;8
slab serif;Archipad Pro;Archipad Pro Extra Bold Slab;a;2;13;8;15
slab serif;Archipad Pro;Archipad Pro Extra Bold Slab;H;1;26;28;0
slab serif;Archipad Pro;Archipad Pro Extra Bold Slab;k;1;17;19;5
slab serif;Archipad Pro;Archipad Pro Extra Bold Slab;o;2;9;0;19
slab serif;Archipad Pro;Archipad Pro Extra Bold Slab;p;2;14;12;9
slab serif;Archipad Pro;Archipad Pro Extra Bold Slab;x;1;19;17;5
slab serif;Archipad Pro;Archipad Pro Extra Light Oblique;a;3;13;6;22
slab serif;Archipad Pro;Archipad Pro Extra Light Oblique;H;1;12;12;0
slab serif;Archipad Pro;Archipad Pro Extra Light Oblique;k;1;11;10;4
slab serif;Archipad Pro;Archipad Pro Extra Light Oblique;o;2;9;0;21
slab serif;Archipad Pro;Archipad Pro Extra Light Oblique;p;3;6;6;14
slab serif;Archipad Pro;Archipad Pro Extra Light Oblique;x;1;10;10;3
slab serif;Archipad Pro;Archipad Pro Extra Light;a;2;15;6;19
slab serif;Archipad Pro;Archipad Pro Extra Light;H;1;12;12;0
slab serif;Archipad Pro;Archipad Pro Extra Light;k;1;10;9;4
slab serif;Archipad Pro;Archipad Pro Extra Light;o;2;9;0;19
slab serif;Archipad Pro;Archipad Pro Extra Light;p;2;10;6;16
slab serif;Archipad Pro;Archipad Pro Extra Light;x;1;10;9;4
slab serif;Archipad Pro;Archipad Pro Extra Light Slab Oblique;a;3;15;8;21
slab serif;Archipad Pro;Archipad Pro Extra Light Slab Oblique;H;1;28;28;0
slab serif;Archipad Pro;Archipad Pro Extra Light Slab Oblique;k;1;21;21;3
slab serif;Archipad Pro;Archipad Pro Extra Light Slab Oblique;o;2;9;0;21
slab serif;Archipad Pro;Archipad Pro Extra Light Slab Oblique;p;3;13;12;13
slab serif;Archipad Pro;Archipad Pro Extra Light Slab Oblique;x;1;14;14;7
slab serif;Archipad Pro;Archipad Pro Extra Light Slab;a;2;16;8;19
slab serif;Archipad Pro;Archipad Pro Extra Light Slab;H;1;24;28;0
slab serif;Archipad Pro;Archipad Pro Extra Light Slab;k;1;18;19;5
slab serif;Archipad Pro;Archipad Pro Extra Light Slab;o;2;9;0;19
slab serif;Archipad Pro;Archipad Pro Extra Light Slab;p;2;16;12;14
slab serif;Archipad Pro;Archipad Pro Extra Light Slab;x;1;17;17;5
slab serif;Archipad Pro;Archipad Pro Light Oblique;a;2;8;6;18
slab serif;Archipad Pro;Archipad Pro Light Oblique;H;1;12;12;2
slab serif;Archipad Pro;Archipad Pro Light Oblique;k;1;10;10;5
slab serif;Archipad Pro;Archipad Pro Light Oblique;o;2;11;0;21
slab serif;Archipad Pro;Archipad Pro Light Oblique;p;2;8;6;12
slab serif;Archipad Pro;Archipad Pro Light Oblique;x;1;10;10;4
slab serif;Archipad Pro;Archipad Pro Light;a;2;13;6;17
slab serif;Archipad Pro;Archipad Pro Light;H;1;12;12;0
slab serif;Archipad Pro;Archipad Pro Light;k;1;10;9;6
slab serif;Archipad Pro;Archipad Pro Light;o;2;9;0;19
slab serif;Archipad Pro;Archipad Pro Light;p;2;11;6;17
slab serif;Archipad Pro;Archipad Pro Light;x;1;12;12;4
slab serif;Archipad Pro;Archipad Pro Light Slab Oblique;a;2;9;8;19
slab serif;Archipad Pro;Archipad Pro Light Slab Oblique;H;1;28;28;3
slab serif;Archipad Pro;Archipad Pro Light Slab Oblique;k;1;17;21;7
slab serif;Archipad Pro;Archipad Pro Light Slab Oblique;o;2;11;0;21
slab serif;Archipad Pro;Archipad Pro Light Slab Oblique;p;2;13;12;12
slab serif;Archipad Pro;Archipad Pro Light Slab Oblique;x;1;12;15;6
slab serif;Archipad Pro;Archipad Pro Light Slab;a;2;14;8;16
slab serif;Archipad Pro;Archipad Pro Light Slab;H;1;24;28;0
