Category;Family;StyleName;Slope
slab serif;Breakers Slab™;Breakers Slab Light;90.0
slab serif;Breakers Slab™;Breakers Slab;90.0
slab serif;Breakers Slab™;Breakers Slab Thin;90.0
slab serif;Breakers Slab™;Breakers Slab Ultra;90.0
slab serif;Bree Serif;Bree Serif Bold Italic;99.99999904632568
slab serif;Bree Serif;Bree Serif Bold;90.0
slab serif;Bree Serif;Bree Serif ExtraBold Italic;99.99999904632568
slab serif;Bree Serif;Bree Serif ExtraBold;90.0
slab serif;Bree Serif;Bree Serif Italic;99.99999904632568
slab serif;Bree Serif;Bree Serif Light Italic;99.99999904632568
slab serif;Bree Serif;Bree Serif Light;90.0
slab serif;Bree Serif;Bree Serif;90.0
slab serif;Bree Serif;Bree Serif SemiBold Italic;99.99999904632568
slab serif;Bree Serif;Bree Serif SemiBold;90.0
slab serif;Bree Serif;Bree Serif Thin Italic;99.99999904632568
slab serif;Bree Serif;Bree Serif Thin;90.0
slab serif;Breton;Breton Black Italic;99.99999904632568
slab serif;Breton;Breton Black;90.0
slab serif;Breton;Breton Bold Italic;99.99999904632568
slab serif;Breton;Breton Bold;90.0
slab serif;Breton;Breton Book Italic;99.99999904632568
slab serif;Breton;Breton Book;90.0
slab serif;Breton;Breton Hair Italic;99.99999904632568
slab serif;Breton;Breton Hair;90.0
slab serif;Breton;Breton Light Italic;99.99999904632568
slab serif;Breton;Breton Light;90.0
slab serif;Breton;Breton Medium Italic;99.99999904632568
slab serif;Breton;Breton Medium;90.0
slab serif;Breton;Breton Regular Italic;99.99999904632568
slab serif;Breton;Breton Regular;90.0
slab serif;Breton;Breton Semi Bold Italic;99.99999904632568
slab serif;Breton;Breton Semi Bold;90.0
slab serif;Breton;Breton Thin Italic;99.99999904632568
slab serif;Breton;Breton Thin;90.0
slab serif;Breton;Breton Ultra Light Italic;99.99999904632568
slab serif;Breton;Breton Ultra Light;90.0
slab serif;Breve Slab Text;Breve Slab Text Black Italic;99.99999904632568
slab serif;Breve Slab Text;Breve Slab Text Black;90.0
slab serif;Breve Slab Text;Breve Slab Text Bold Italic;99.99999904632568
slab serif;Breve Slab Text;Breve Slab Text Bold;90.0
slab serif;Breve Slab Text;Breve Slab Text Book Italic;99.99999904632568
